name	chr	start	end	count	sum	min	max	mean	median	std	avg_exon_mappabbility	link
anchTM_000001564033	chrX	8987881	8987932	1	0.0	0.0	0.0	0.0	0.0		0.9362745098039216	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A8987881-8987932
anchTM_000001570674	chrX	33554485	33554565	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A33554485-33554565
anchTM_000001564029	chrX	8907907	8909035	3	0.0	0.0	0.0	0.0	0.0	0.0	0.8840748298735845	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A8907907-8909035
anchTM_000001606000	chrX	137271792	137272105	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A137271792-137272105
anchTM_000001564034	chrX	8987881	8987932	1	0.0	0.0	0.0	0.0	0.0		0.9362745098039216	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A8987881-8987932
anchTM_000001570670	chrX	33409942	33410176	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A33409942-33410176
anchTM_000001570622	chrX	32490530	32490713	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A32490530-32490713
anchTM_000001570618	chrX	31350616	31350723	1	0.0	0.0	0.0	0.0	0.0		0.5841121494978945	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A31350616-31350723
anchTM_000001570658	chrX	33410041	33410176	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A33410041-33410176
anchTM_000001570495	chrX	30676255	30676308	1	0.0	0.0	0.0	0.0	0.0		0.9056603773584906	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30676255-30676308
anchTM_000001564035	chrX	8987882	8987932	1	0.0	0.0	0.0	0.0	0.0		0.945	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A8987882-8987932
anchTM_000001584215	chrX	69129606	69136141	2	0.0	0.0	0.0	0.0	0.0	0.0	0.9880059882552323	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A69129606-69136141
anchTM_000001570761	chrX	34535275	34535417	1	0.0	0.0	0.0	0.0	0.0		0.5152605630877153	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A34535275-34535417
anchTM_000001564063	chrX	9309125	9309327	1	0.0	0.0	0.0	0.0	0.0		0.5091188114210226	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A9309125-9309327
anchTM_000001564061	chrX	9309124	9309327	1	0.0	0.0	0.0	0.0	0.0		0.5115369453549091	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A9309124-9309327
anchTM_000001584066	chrX	69062205	69062294	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A69062205-69062294
anchTM_000001606534	chrX	145504282	145507618	3	0.0	0.0	0.0	0.0	0.0	0.0	0.8820225036272101	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A145504282-145507618
anchTM_000001564042	chrX	9205588	9205707	1	0.0	0.0	0.0	0.0	0.0		0.8578235296642079	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A9205588-9205707
anchTM_000001606289	chrX	140505220	140512656	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A140505220-140512656
anchTM_000001564039	chrX	9205652	9205720	1	0.0	0.0	0.0	0.0	0.0		0.8793235289699891	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A9205652-9205720
anchTM_000001594058	chrX	102141543	102141597	1	0.0	0.0	0.0	0.0	0.0		0.8888333340485891	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A102141543-102141597
anchTM_000001564458	chrX	12136717	12136757	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A12136717-12136757
anchTM_000001570130	chrX	30447199	30447417	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30447199-30447417
anchTM_000001580704	chrX	54357388	54357538	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A54357388-54357538
anchTM_000001564459	chrX	12139193	12139286	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A12139193-12139286
anchTM_000001604401	chrX	135708319	135708388	1	0.0	0.0	0.0	0.0	0.0		0.9276231872862664	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A135708319-135708388
anchTM_000001604484	chrX	135974346	135974383	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A135974346-135974383
anchTM_000001570074	chrX	30212749	30214111	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30212749-30214111
anchTM_000001570072	chrX	30213332	30214111	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30213332-30214111
anchTM_000001570070	chrX	30188648	30214111	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30188648-30214111
anchTM_000001570069	chrX	30188648	30214111	4	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30188648-30214111
anchTM_000001570068	chrX	30213332	30214111	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30213332-30214111
anchTM_000001570066	chrX	30213332	30214111	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30213332-30214111
anchTM_000001570065	chrX	30213332	30214111	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30213332-30214111
anchTM_000001570064	chrX	30213332	30214111	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30213332-30214111
anchTM_000001604375	chrX	135396920	135396986	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A135396920-135396986
anchTM_000001564020	chrX	8821761	8827422	3	0.0	0.0	0.0	0.0	0.0	0.0	0.9973529410712859	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A8821761-8827422
anchTM_000001564019	chrX	8821889	8822137	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A8821889-8822137
anchTM_000001605996	chrX	137271762	137271834	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A137271762-137271834
anchTM_000001605995	chrX	137271754	137271834	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A137271754-137271834
anchTM_000001606537	chrX	145674199	145674380	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A145674199-145674380
anchTM_000001570149	chrX	30620088	30620205	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30620088-30620205
anchTM_000001570148	chrX	30620088	30620205	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30620088-30620205
anchTM_000001583103	chrX	57137047	57137078	1	0.0	0.0	0.0	0.0	0.0		0.8012258045135006	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A57137047-57137078
anchTM_000001564457	chrX	12011235	12011351	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A12011235-12011351
anchTM_000001593916	chrX	101691885	101691916	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A101691885-101691916
anchTM_000001606635	chrX	146952198	146952281	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A146952198-146952281
anchTM_000001570062	chrX	30138672	30214111	5	0.0	0.0	0.0	0.0	0.0	0.0	0.9263122807207861	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A30138672-30214111
anchTM_000001564066	chrX	9309125	9309327	1	0.0	0.0	0.0	0.0	0.0		0.5091188114210226	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A9309125-9309327
anchTM_000001563157	chrX	3166425	3166554	1	0.0	0.0	0.0	0.0	0.0		0.7671162790164004	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A3166425-3166554
anchTM_000001594259	chrX	102549757	102549834	1	0.0	0.0	0.0	0.0	0.0		0.8332727280530062	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A102549757-102549834
anchTM_000001594642	chrX	103051228	103051298	1	0.0	0.0	0.0	0.0	0.0		0.8570714294910431	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A103051228-103051298
anchTM_000001608878	chrX	152814498	152814627	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A152814498-152814627
anchTM_000001603343	chrX	132185304	132185520	1	0.0	0.0	0.0	0.0	0.0		1.0	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A132185304-132185520
anchTM_000001603425	chrX	132634872	132634999	1	0.0	0.0	0.0	0.0	0.0		0.8070787396135293	https://gwips.ucc.ie/cgi-bin/hgTracks?db=hg38&position=chrX%3A132634872-132634999
